name,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,oob_score,class_weight,max_samples,n_jobs,random_state,fit_time_seconds,val_accuracy,val_macro_f1,val_weighted_f1,val_benign_fpr,test_accuracy,test_macro_f1,test_weighted_f1,test_benign_fpr
rf_candidate_4,300,22,12,4,sqrt,True,0.7784594755661501,balanced_subsample,0.7,1,42,871.44,0.7778743434020379,0.5964128605067718,0.7754845565898649,0.014817334991435744,0.7796480542866877,0.5987291384659889,0.7773877158611667,0.01439493185773224
rf_candidate_3,260,20,10,3,log2,True,0.7710436531585221,balanced_subsample,0.75,1,42,719.92,0.7701985350608537,0.5863456754318142,0.7693857827057076,0.013902250170111922,0.7717358808028979,0.5887426761988631,0.7710961754400699,0.01332342647087578
rf_candidate_2,220,18,8,4,sqrt,True,0.761240315852205,balanced_subsample,0.8,1,42,699.52,0.7611947562548452,0.5800314098146624,0.7646769906308248,0.012615656553806205,0.7624088327110666,0.582153276954636,0.7661716647605471,0.012150245390376005
rf_candidate_1,180,16,6,2,sqrt,True,0.7517103694874852,balanced_subsample,0.8,1,42,517.0,0.7515687085661048,0.5742491567430222,0.7582558983785505,0.012513980462548003,0.7528940616982667,0.5766669048944401,0.7600137239889878,0.011989910642707702
